0.45	0.54	House
0.99	0.13	Judiciary
0.52	0.64	Subcommittee
0.86	0.74	on
0.57	0.11	Antitrust,
0.12	0.8	Commercial
0.8	0.21	and
0.99	0.34	Administrative
0.43	0.53	Law
0.39	0.19	Holds
0.5	0.25	Hearing
0.44	0.32	on
0.99	0.02	Online
0.53	0.19	Platforms
0.27	0.23	and
0.45	0.29	Market
0.69	0.94	Power:
0.01	0.55	Amazon,
0.66	0.01	Facebook,
0.84	0.4	Google,
0.22	0.53	and
0.73	0.26	Apple
0.83	0.41	LIST
0.17	0.47	OF
0.62	0.2	PANEL
0.75	0.81	MEMBERS
0.35	0.14	AND
0.25	0.41	WITNESSES
0.83	0.43	
0.98	0.17	
0.99	0.11	CICILLINE:
0.19	0.66	The
0.67	0.35	subcommittee
0.25	0.95	will
0.91	0.68	come
0.94	0.62	to
0.25	0.12	order.
0.42	0.86	Without
0.84	0.05	objection,
0.78	0.16	the
0.74	0.31	chair
0.63	0.51	is
0.34	0.12	authorized
0.4	0.19	to
0.38	0.81	declare
0.71	0.86	a
0.87	0.39	recess
0.46	0.55	at
0.32	0.43	anytime.
0.26	0.56	We
0.53	0.04	welcome
0.02	0.79	everyone
0.98	0.71	to
0.97	0.33	today's
0.05	0.38	hearing
0.12	0.97	on
0.66	0.17	Online
0.67	0.41	Platforms
0.1	0.19	and
0.9	0.96	Market
0.16	0.21	Power
0.64	0.54	Part
0.02	0.84	Six,
0.78	0.83	Examining
0.84	0.24	the
0.46	0.07	Dominance
0.36	0.7	of
0.12	0.02	Amazon,
0.92	0.23	Apple,
0.99	0.73	Facebook,
0.73	0.99	and
0.81	0.86	Google.
0.86	0.92	Before
0.45	0.45	we
0.4	0.39	begin,
0.61	0.51	I'd
0.51	0.9	like
0.4	0.35	to
0.92	0.45	remind
0.42	0.23	members
0.78	0.19	that
0.31	0.13	we
0.58	0.33	have
0.77	0.88	established
0.5	0.62	an
0.02	0.37	email
0.49	0.16	address
0.21	0.9	and
0.33	0.11	distribution
0.59	0.86	list
0.49	0.97	dedicating
0.67	0.71	to
0.65	0.11	circulating
0.38	0.56	exhibits,
0.56	0.75	motions,
0.12	0.8	or
0.33	0.56	other
0.38	0.78	written
0.89	0.95	materials
0.47	0.35	that
0.18	0.43	members
0.99	0.23	might
0.67	0.28	want
0.25	0.73	to
0.89	0.04	offer
0.81	0.31	as
0.12	0.17	part
0.3	0.16	of
0.78	0.81	our
0.75	0.14	hearing
0.02	0.13	today.
0.72	0.51	If
0.83	0.75	you'd
0.79	1	like
0.59	0	to
0.57	0.46	submit
0.45	0.88	materials,
0.46	0.34	please
0.41	0.09	send
0.94	0.09	them
0.16	0.54	to
0.69	0.58	the
0.89	0.36	email
0.12	0.9	address
0.78	0.85	that
0.21	0.94	has
0.12	0.76	been
0.54	0.38	previously
0.03	0.67	distributed
0.39	0.66	to
0.89	0.89	your
0.49	0.54	offices,
0.2	0.44	and
0.54	0.62	we
0.64	0.59	will
0.4	0.22	circulate
0.64	0.42	the
0.49	0.59	materials
0.22	0.99	to
0.41	0.14	members
0.86	0.73	and
0.95	0.46	staff
0.64	0.28	as
0.87	0.37	quickly
0.35	0.93	as
0.43	0.92	we
0.01	0.98	can.
0.06	0	I
0.39	0.09	would
0.81	0.48	also
0.18	0.25	remind
0.78	0.99	all
0.66	0.49	members
0.66	0.59	that
0.82	0.57	guidance
0.68	0.09	from
0.11	0.18	the
0.91	0.14	Office
0.9	0.77	of
0.89	0.48	the
0.54	0.83	Attending
0.05	0.85	Physician
0.15	0.7	states
0.48	0.81	that
0.13	0.91	face
0.69	0.89	coverings
0.59	0.49	are
0.85	0.61	required
0.95	0.97	for
0.83	0.72	all
0.72	0.84	meetings
0.1	0.28	in
0.15	0.7	an
0.47	0.94	enclosed
0.79	0.44	space
0.95	0.58	such
0.8	0.04	as
0.19	0.25	committee
0.98	0.99	hearings.
0.67	0.96	I
0.71	0.82	expect
0.93	0.4	all
0.07	0.28	members
0.51	0.29	on
0.02	0.43	both
0.04	0.52	sides
0.55	0.56	of
0.2	0.25	the
0.67	0.25	aisle
0.16	0.64	to
0.26	0.11	wear
0.51	0.85	a
0.64	0.11	mask
0.43	0.38	except
0.36	0.03	when
0.16	0.23	you
0.98	0.06	are
0.78	0.19	speaking.
0.34	0.88	I
0.79	0.9	now
0.54	0.88	recognize
0.75	0.22	myself
0.91	0.94	for
0.96	0.12	an
0.29	0.81	opening
0.54	0.03	statement.
0.66	0.24	More
0.39	0.94	than
0.41	0.74	a
0.58	0.6	year
0.47	0.26	ago,
0.7	0.11	the
0.66	0.87	subcommittee
0.96	0.07	launched
0.21	0.55	an
0.74	0.36	investigation
0.63	0.47	into
0.57	0.12	digital
0.64	0.3	markets.
0.56	0.64	Our
0.3	0.57	two
0.63	0.93	objectives
